drwNo,drwNoDate,Total_sell_amount,total_paper,No1,No2,No3,No4,No5,No6,Bonus,Winners,sim.Winners,auto,man,semi-auto
1,2002-12-07,3681782000,1840891,10,23,29,33,37,40,16,0,0,0,0,0
2,2002-12-14,4904274000,2452137,9,13,21,25,32,42,2,1,0,0,0,0
3,2002-12-21,4729342000,2364671,11,16,19,21,27,31,30,1,0,0,0,0
4,2002-12-28,5271464000,2635732,14,27,30,31,40,42,2,0,0,0,0,0
5,2003-01-04,6277102000,3138551,16,24,29,40,41,42,3,0,0,0,0,0
6,2003-01-11,15305356000,7652678,14,15,26,27,40,42,34,1,0,0,0,0
7,2003-01-18,12794890000,6397445,2,9,16,25,26,40,42,0,0,0,0,0
8,2003-01-25,20751450000,10375725,8,19,25,34,37,39,9,0,1,0,0,0
9,2003-02-01,73624020000,36812010,2,4,16,17,36,39,14,0,2,0,0,0
10,2003-02-08,2.61E+11,130428196,9,25,30,33,41,44,6,13,18,0,0,0
11,2003-02-15,91925306000,45962653,1,7,36,37,41,42,14,5,4,0,0,0
12,2003-02-22,76255508000,38127754,2,11,21,25,39,45,44,12,5,0,0,0
13,2003-03-01,66532136000,33266068,22,23,25,37,38,42,26,0,8,0,0,0
14,2003-03-08,99838648000,49919324,2,6,12,31,33,40,15,4,7,0,0,0
15,2003-03-15,73264910000,36632455,3,4,16,30,31,37,13,1,8,0,0,0
16,2003-03-22,75777348000,37888674,6,7,24,37,38,40,33,4,2,0,0,0
17,2003-03-29,72718152000,36359076,3,4,9,17,32,37,1,3,6,0,0,0
18,2003-04-05,66371660000,33185830,3,12,13,19,32,35,29,0,4,0,0,0
19,2003-04-12,1.06E+11,52978909,6,30,38,39,40,43,26,1,8,0,0,0
20,2003-04-19,81056776000,40528388,10,14,18,20,23,30,41,1,10,0,0,0
21,2003-04-26,84247142000,42123571,6,12,17,18,31,32,21,23,5,0,0,0
22,2003-05-03,79455152000,39727576,4,5,6,8,17,39,25,4,6,0,0,0
23,2003-05-10,77374256000,38687128,5,13,17,18,33,42,44,4,1,0,0,0
24,2003-05-17,78486634000,39243317,7,8,27,29,36,43,6,0,7,0,0,0
25,2003-05-24,1.20E+11,60036884,2,4,21,26,43,44,16,2,8,0,0,0
26,2003-05-31,80193026000,40096513,4,5,7,18,20,25,31,5,5,0,0,0
27,2003-06-07,76145050000,38072525,1,20,26,28,37,43,27,2,3,0,0,0
28,2003-06-14,75448366000,37724183,9,18,23,25,35,37,1,10,4,0,0,0
29,2003-06-21,74523120000,37261560,1,5,13,34,39,40,11,5,7,0,0,0
30,2003-06-28,72399690000,36199845,8,17,20,35,36,44,4,2,3,0,0,0
31,2003-07-05,71317306000,35658653,7,9,18,23,28,35,32,2,4,0,0,0
32,2003-07-12,71179198000,35589599,6,14,19,25,34,44,11,10,7,0,0,0
33,2003-07-19,67457252000,33728626,4,7,32,33,40,41,9,1,2,0,0,0
34,2003-07-26,69389894000,34694947,9,26,35,37,40,42,2,5,2,0,0,0
35,2003-08-02,66143062000,33071531,2,3,11,26,37,43,39,3,7,0,0,0
36,2003-08-09,66856686000,33428343,1,10,23,26,28,40,31,1,4,0,0,0
37,2003-08-16,65509794000,32754897,7,27,30,33,35,37,42,3,7,0,0,0
38,2003-08-23,67369284000,33684642,16,17,22,30,37,43,36,3,4,0,0,0
39,2003-08-30,66094476000,33047238,6,7,13,15,21,43,8,6,4,0,0,0
40,2003-09-06,65699086000,32849543,7,13,18,19,25,26,6,13,7,0,0,0
41,2003-09-13,57624562000,28812281,13,20,23,35,38,43,34,0,6,0,0,0
