date,diff
1790-01-01,-0.274711624
1791-01-01,-0.281810115
1792-01-01,-0.30310559
1793-01-01,-0.366992014
1794-01-01,-0.413136284
1795-01-01,-0.468149594
1796-01-01,-0.508969995
1797-01-01,-0.507195372
1798-01-01,-0.516068487
1799-01-01,-0.519617732
1800-01-01,-0.532040093
1801-01-01,-0.563987379
1802-01-01,-0.553339642
1803-01-01,-0.549790396
1804-01-01,-0.565762002
1805-01-01,-0.606582403
1806-01-01,-0.622554009
1807-01-01,-0.631427124
1808-01-01,-0.642070787
1809-01-01,-0.668694205
1810-01-01,-0.689993754
1811-01-01,-0.698866869
1812-01-01,-0.679346017
1813-01-01,-0.654509446
1814-01-01,-0.649193726
1815-01-01,-0.619025137
1816-01-01,-0.629676949
1817-01-01,-0.661620161
1818-01-01,-0.675821219
1819-01-01,-0.668714578
1820-01-01,-0.652738897
1821-01-01,-0.63853784
1822-01-01,-0.656288143
1823-01-01,-0.652738897
1824-01-01,-0.665161258
1825-01-01,-0.684686184
1826-01-01,-0.68823543
1827-01-01,-0.698883167
1828-01-01,-0.714854773
1829-01-01,-0.730826379
1830-01-01,-0.74324874
1831-01-01,-0.768097535
1832-01-01,-0.791175782
1833-01-01,-0.794729102
1834-01-01,-0.800052971
1835-01-01,-0.800057046
1836-01-01,-0.800057046
1837-01-01,-0.796515949
1838-01-01,-0.789413383
1839-01-01,-0.796515949
1840-01-01,-0.794737252
1841-01-01,-0.785864137
1842-01-01,-0.778761571
1843-01-01,-0.773445852
1844-01-01,-0.782323041
1845-01-01,-0.787650984
1846-01-01,-0.778786019
1847-01-01,-0.769921054
1848-01-01,-0.76104794
1849-01-01,-0.755724071
1850-01-01,-0.759285541
1851-01-01,-0.757510918
1852-01-01,-0.764625708
1853-01-01,-0.775289744
1854-01-01,-0.780613613
1855-01-01,-0.784179157
1856-01-01,-0.787736553
1857-01-01,-0.784179157
1858-01-01,-0.778867513
1859-01-01,-0.773535495
1860-01-01,-0.766437003
1861-01-01,-0.672386065
1862-01-01,-0.50205079
1863-01-01,-0.377880158
1864-01-01,-0.346042888
1865-01-01,-0.250213252
1866-01-01,-0.243106611
1867-01-01,-0.243094387
1868-01-01,-0.259070068
1869-01-01,-0.267939107
1870-01-01,-0.305214337
1871-01-01,-0.344268265
1872-01-01,-0.367342437
1873-01-01,-0.388654211
1874-01-01,-0.374445004
1875-01-01,-0.379768872
1876-01-01,-0.372662231
1877-01-01,-0.376215552
1878-01-01,-0.347813436
1879-01-01,-0.392211606
1880-01-01,-0.473913529
1881-01-01,-0.502319719
1882-01-01,-0.546726038
1883-01-01,-0.560918947
1884-01-01,-0.564455969
1885-01-01,-0.566218367
1886-01-01,-0.580431649
1887-01-01,-0.601751572
1888-01-01,-0.619501876
1889-01-01,-0.64792844
1890-01-01,-0.662121348
1891-01-01,-0.67633463
1892-01-01,-0.683453495
1893-01-01,-0.679908324
1894-01-01,-0.660338576
1895-01-01,-0.660391547
1896-01-01,-0.649731585
1897-01-01,-0.658645447
1898-01-01,-0.651567329
1899-01-01,-0.667624503
1900-01-01,-0.683628707
1901-01-01,-0.699698105
1902-01-01,-0.705046422
1903-01-01,-0.71219381
1904-01-01,-0.7175625
1905-01-01,-0.724750635
1906-01-01,-0.730155997
1907-01-01,-0.730188595
1908-01-01,-0.724775083
1909-01-01,-0.733778587
1910-01-01,-0.735610256
1911-01-01,-0.737421551
1912-01-01,-0.741080813
1913-01-01,-0.744699329
1914-01-01,-0.739281742
1915-01-01,-0.742912482
1916-01-01,-0.753951389
1917-01-01,-0.566208085
1918-01-01,-0.266891721
1919-01-01,-0.21040124
1920-01-01,-0.319068855
1921-01-01,-0.242193689
1922-01-01,-0.25104643
1923-01-01,-0.356258517
1924-01-01,-0.386524898
1925-01-01,-0.420385348
1926-01-01,-0.466770024
1927-01-01,-0.484471431
1928-01-01,-0.502254333
