year,Debt as a Share of GDP (Percent),Nominal GDP (Billions of dollars),Real GDP (Billions of dollars)
1790,29.6,0.3,4.1
1791,29.2,0.3,4.2
1792,28.0,0.3,4.5
1793,24.4,0.3,4.7
1794,21.8,0.4,4.9
1795,18.7,0.4,5.3
1796,16.4,0.5,5.7
1797,16.5,0.5,5.5
1798,16.0,0.5,5.7
1799,15.8,0.5,6.2
1800,15.1,0.5,6.3
1801,13.3,0.6,7.2
1802,13.9,0.6,6.7
1803,14.1,0.6,7.1
1804,13.2,0.6,7.5
1805,10.9,0.7,8.2
1806,10.0,0.7,8.1
1807,9.5,0.7,8.5
1808,8.9,0.6,7.9
1809,7.4,0.7,8.7
1810,6.2,0.8,9.0
1811,5.7,0.8,9.2
1812,6.8,0.8,9.0
1813,8.2,1.0,9.9
1814,8.5,1.2,10.8
1815,10.2,1.2,11.1
1816,9.6,1.3,11.5
1817,7.8,1.3,12.1
1818,7.0,1.4,13.3
1819,7.4,1.2,13.2
1820,8.3,1.1,13.3
1821,9.1,1.0,13.5
1822,8.1,1.1,15.3
1823,8.3,1.1,15.0
1824,7.6,1.1,15.2
1825,6.5,1.2,17.3
1826,6.3,1.2,16.7
1827,5.7,1.2,17.4
1828,4.8,1.2,18.3
1829,3.9,1.2,18.9
1830,3.2,1.2,19.3
1831,1.8,1.3,20.7
1832,0.5,1.5,22.7
1833,0.3,1.6,25.1
1834,0.0,1.6,25.2
1835,0.0,1.7,24.7
1836,0.0,1.7,24.6
1837,0.2,1.9,26.7
1838,0.6,1.8,26.8
1839,0.2,1.9,29.1
1840,0.3,1.8,29.2
1841,0.8,1.8,30.3
1842,1.2,1.7,30.4
1843,1.5,1.9,33.8
1844,1.0,2.0,35.5
1845,0.7,2.1,37.1
1846,1.2,2.3,38.3
1847,1.7,2.5,42.3
1848,2.2,2.5,42.9
1849,2.5,2.5,43.4
1850,2.3,2.8,47.7
1851,2.4,2.8,51.1
1852,2.0,3.2,56.8
1853,1.4,3.6,62.6
1854,1.1,3.6,60.5
1855,0.9,4.0,65.4
1856,0.7,4.2,66.3
1857,0.9,4.0,66.5
1858,1.2,4.3,71.1
1859,1.5,4.1,73.3
1860,1.9,4.1,71.6
1861,7.2,4.2,71.1
1862,16.8,4.9,72.2
1863,23.8,6.2,73.3
1864,25.6,8.8,89.9
1865,31.0,8.8,83.4
1866,31.4,8.6,85.7
1867,31.4,8.3,87.7
1868,30.5,8.4,92.5
1869,30.0,8.3,97.0
1870,27.9,8.5,104.6
1871,25.7,8.8,109.4
1872,24.4,8.9,113.9
1873,23.2,9.3,119.7
1874,24.0,9.0,119.0
1875,23.7,9.0,125.2
1876,24.1,8.8,126.7
1877,23.9,8.9,130.7
1878,25.5,8.7,136.0
1879,23.0,9.5,152.7
1880,18.4,11.2,170.5
1881,16.8,11.5,176.7
1882,14.3,12.5,187.8
1883,13.5,12.4,192.5
1884,13.3,12.1,196.0
1885,13.2,11.8,197.4
1886,12.4,12.2,203.5
1887,11.2,12.8,212.6
1888,10.2,12.9,211.8
1889,8.6,13.7,225.0
1890,7.8,13.6,228.3
1891,7.0,14.0,235.8
1892,6.6,14.5,247.0
1893,6.8,14.6,246.8
1894,7.9,13.4,239.3
1895,7.9,14.7,267.4
1896,8.5,14.4,261.3
1897,8.0,15.4,282.6
1898,8.4,15.9,289.3
1899,7.5,18.0,322.5
1900,6.6,18.8,328.6
1901,5.7,21.2,368.4
1902,5.4,21.8,374.5
1903,5.0,23.0,385.1
1904,4.7,24.1,399.6
1905,4.3,26.3,436.1
1906,4.0,28.3,453.9
1907,4.0,29.1,446.9
1908,4.3,26.9,422.6
1909,3.8,30.1,471.6
1910,3.7,31.5,473.6
1911,3.6,32.4,488.9
1912,3.4,35.1,517.0
1913,3.2,36.8,537.3
1914,3.5,34.5,496.4
1915,3.3,36.5,513.0
1916,2.7,46.1,595.6
1917,13.3,55.1,594.5
1918,30.2,69.7,639.9
1919,33.4,77.0,619.8
1920,27.3,87.2,607.9
1921,31.6,73.3,587.0
1922,31.1,72.8,627.2
1923,25.2,85.3,714.5
1924,23.5,87.7,734.4
1925,21.6,91.2,750.2
1926,19.0,97.2,795.6
1927,18.0,96.1,800.0
1928,17.0,97.0,814.3
1929,14.9,103.6,865.2
1930,16.5,91.2,790.7
1931,22.3,76.5,739.9
1932,34.5,58.7,643.7
1933,39.1,56.4,635.5
1934,44.0,66.0,704.2
1935,42.9,73.3,766.9
1936,43.0,83.8,866.6
1937,40.1,91.9,911.1
1938,42.8,86.1,879.7
1939,43.0,92.2,950.7
1940,42.7,101.4,1034.1
1941,43.3,126.7,1211.1
1942,62.0,161.9,1435.4
1943,77.1,198.6,1670.9
1944,95.7,219.8,1806.5
1945,112.7,223.1,1786.3
1946,102.6,222.3,1589.4
1947,90.4,244.2,1574.5
1948,79.9,269.2,1643.2
1949,81.4,267.3,1634.6
1950,73.7,293.8,1777.3
1951,63.7,339.3,1915.0
1952,61.8,358.3,1988.3
1953,60.2,379.4,2079.5
1954,60.7,380.4,2065.4
1955,55.5,414.8,2212.8
1956,51.2,437.5,2255.8
1957,48.1,461.1,2301.1
1958,49.5,467.2,2279.2
1959,47.0,506.6,2441.3
1960,44.8,526.4,2501.8
1961,44.6,544.7,2560.0
1962,42.9,585.6,2715.2
1963,41.4,617.7,2834.0
1964,39.0,663.6,2998.6
1965,36.5,719.1,3191.1
1966,33.7,787.8,3399.1
1967,33.4,832.6,3484.6
1968,31.2,910.0,3652.7
1969,28.5,984.6,3765.4
1970,28.2,1038.5,3771.9
1971,27.7,1127.1,3898.6
1972,26.8,1238.3,4105.0
1973,24.8,1382.7,4341.5
1974,24.6,1500.0,4319.6
1975,26.6,1638.3,4311.2
1976,28.1,1825.3,4540.9
1977,27.8,2030.9,4750.5
1978,26.8,2294.7,5015.0
1979,25.7,2563.3,5173.4
1980,26.2,2789.5,5161.7
1981,26.3,3128.4,5291.7
1982,30.0,3255.0,5189.3
1983,33.4,3536.7,5423.8
1984,34.5,3933.2,5813.6
1985,37.1,4220.3,6053.7
1986,39.8,4462.8,6263.6
1987,40.7,4739.5,6475.1
1988,40.9,5103.8,6742.7
1989,41.0,5484.4,6981.4
1990,42.8,5803.1,7112.5
1991,46.1,5995.9,7100.5
1992,48.3,6337.7,7336.6
1993,49.5,6657.4,7532.7
1994,49.2,7072.2,7835.5
1995,49.2,7397.7,8031.7
1996,47.9,7816.9,8328.9
1997,45.3,8304.3,8703.5
1998,42.3,8747.0,9066.9
1999,38.6,9268.4,9470.3
2000,34.5,9817.0,9817.0
